,Unnamed: 0,Unnamed: 0.1,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Lat,Lon,Year
236,236,236,03/31/1931,10:45,"Bazaar, Kansas",Trans Continental and Western Air,599,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,NC-999,1063,8.0,8.0,0.0,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed.",38.27196,-96.535285,1931
297,297,297,03/28/1933,14:30,"Near Dixmude, Belgium",Imperial Airways,,"Cologne, Germany - Croydon, England",Armstrong Whitworth Argosy II,G-AACI,AW-363,15.0,15.0,0.0,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger in an attempt to commit suicide.",51.033341,2.864718,1933
299,299,299,04/04/1933,12:30,"Off Barnegat, New Jersey",Military - U.S. Navy,,,Goodyear-Zeppelin U.S.S. Akron (airship),ZRS-4,,76.0,73.0,0.0,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off.  Before it could regain a safe height, it plummeted into the AtlantiOcean. Decision by the commander to fly into a storm despite the presence of lightning.",39.86585,-74.263027,1933
306,306,306,10/10/1933,21:00,"Chesterton, Indiana",United Air Lines,,Cleveland - Chicago,Boeing 247-D,NC13304,1685,10.0,10.0,0.0,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. This was the first proven case of sabotage in the history of commercial aviation.",41.610594,-87.064199,1933
308,308,308,11/09/1933,22:35,"Portland, Oregon",United Air Lines,,"Seattle, WA - Dallas, TX",Boeing 247,NC13345,,9.0,4.0,,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.,45.520247,-122.674195,1933
316,316,316,01/15/1934,18:15,"Corbigny, France",Air France,,Saigon - Paris,Dewoitine D-332,F-AMMY,01,14.0,14.0,0.0,The aircraft crashed while en route in a severe snowstorm.  Icing. The aircraft was named 'Emeraude.',47.257432,3.6843,1934
325,325,325,05/31/1934,05:00,"Croydon, England",Air France,,"Croydon, England - Paris, France",Liore-et-Olivier 213,F-AIVG,,2.0,2.0,0.0,The cargo plane struck an aerial mast and crashed into houses while attempting to take off.,51.371305,-0.101957,1934
342,342,342,12/08/1934,05:30,"Columbia, Missouri",Braniff Airlines,,"Kansas City, MO - Chicago, IL",Lockheed Vega 5C,NC106W,,1.0,1.0,0.0,The mail plane crashed to the ground from a low altitude. Icing.,38.951883,-92.333737,1934
343,343,343,12/10/1934,07:30,"Palma Soriano, Cuba",Cubana de Aviacion,,Santiago - Havana,Ford 4-AT-E Tri-motor,NM-7,4-AT-63,8.0,4.0,0.0,Crashed into a mountain while en route.,20.212669,-75.997394,1934
344,344,344,12/20/1934,02:30,"Rutbah Wells, Syria",KLM Royal Dutch Airlines,,"Amsterdam - Batavia, Java",Douglas DC-2-115A,PH-AJU,1317,7.0,7.0,0.0,Crashed and burned about half-way between Baghdad and Gaza. The aircraft was named 'Univer' (Dutch word for stork).,35.0,38.0,1934
345,345,345,12/22/1934,02:52,"Sunbright, Tennessee",American Airlines,,"Louisville, KY - Nashville, TN",Lockheed Orion 9D,NC12286,,1.0,1.0,0.0,"Crashed into Big Pilot mountain, 50 feet from the top of the summit, four miles from Sunbright, in poor visibility.",36.243409,-84.669944,1934
354,354,354,05/06/1935,03:30,"Atlanta, Missouri",Trans Continental and Western Air,6,Los Angeles - Albuquerque - Kanasas City -  Washington,Douglas DC-2-112,NC13785,1295,14.0,5.0,0.0,"The plane crashed while en route from Albuquerque to Kansas City. After encountering fog and poor visibility, the plane was diverted to Kirksville where witnesses reported the low flying aircraft made contact with the ground and crashed. Whether the plane struck the ground while the pilot was attempting to make an emergency landing or because the available fuel supply had been exhausted, or for other reasons, could not be determined. New Mexico Senator Bronson M. Cutting, 46, killed. Improper clearance of the airplane from Albuquerque by the company's ground personnel when the plane's two-way radio was not functioning properly.",39.898646,-92.481021,1935
365,365,365,08/14/1935,23:45,"Near Gilmer, Texas",Delta Air Lines,4,Dallas -  Atlanta,Stinson Model A,NC14599,9103,4.0,4.0,0.0,Crashed 3 miles south of Gilmer. The outboard engine separated from the aircraft after a propeller blade broke off resulting in an imbalanced condition which led to loss of control of the aircraft.,32.731226,-94.946931,1935
367,367,367,08/15/1935,20:18,"Walakpa, near Point Barrow, Alaska",Private,,,Lockheed Orion 9E Explorer float plane,NR12283,195,2.0,2.0,0.0,"Dense fog caused the pilot to make a forced landing about 15 miles south of Point Barrow.  After some mechanical repairs, the plane took off, rose to about 50 feet and then crashed into shallow water. Loss of control of the aircraft at a low altitude after sudden engine failure due to the extreme nose-heaviness of the aircraft. Adventurer, Wiley Post, 37, and humorist, Will Rogers, 56, killed. Most experts believe that a combination of miscalculations in the design and operation of the heavily customized aircraft resulted in the uncontrollable spin that occurred right after takeoff.",64.87879,-147.800008,1935
370,370,370,10/07/1935,02:19,"Near Cheyenne, Wyoming",United Air Lines,4,Salt Lake City - Cheyenne,Boeing 247D,NC13317,1698,12.0,12.0,0.0,"While flying in a normal, slightly descending path, the aircraft  first collided with the ground just a few feet  below the top of a small knoll tearing out both engines and engine nacelles. It then rebounded and continued through the air for a distance of 1,120 feet, where it came to rest.  Error on the part of the pilot in executing an abrupt maneuver with insufficient altitude for safety and failure of the pilot to maintain proper control of the aircraft during this maneuver.",41.139981,-104.820246,1935
373,373,373,10/30/1935,19:40,"Cheyenne, Wyoming",United Air Lines,,Test flight,Boeing B-247-D,NC13323,1704,4.0,4.0,0.0,Crashed into a hill in poor weather conditions 5 miles south of Cheyenne. Test flight. Poor judgment by the pilot for executing an abrupt maneuver with insufficient altitude for safety and  failure of the pilot to maintain proper control of the aircraft during this maneuver.,41.139981,-104.820246,1935
376,376,376,11/09/1935,04:40,"Near Fort Worth, Texas",Braniff Airlines,,Dallas - Waco,Lockheed Vega,NC980Y,,1.0,1.0,0.0,Plunged to the ground thirty minutes after leaving Fort Worth. Tried to return to Dallas airport due to inclement weather.,32.753177,-97.332746,1935
381,381,381,12/31/1935,17:20,"Off Alexandria, Egypt",Imperial Airways,,Mirabella - Alexandria,Short Calcutta,G-AASJ,S-752,13.0,12.0,0.0,The aircraft ran out of fuel and crashed off Alexandria. The plane was named 'The City of Khartoum.',31.199004,29.894378,1935
382,382,382,01/14/1936,19:32,"Goodwin, Arkansas",American Airlines,1,"Newark, NJ - Fort Worth, TX",Douglas DC-2-120,NC14274,1307,17.0,17.0,0.0,"Flew into trees and disintegrated. The cause of the crash could not be determined.  Possible causes include, passenger interference, one fuel tank running dry, flying too low and the co-pilot alone at the controls.",34.93815,-91.020953,1936
389,389,389,04/01/1936,19:10,"Pavillon, New York",American Airlines,,"Newwark, N.J. - Buffalo, NY",Stinson Model A,NC15152,,2.0,2.0,0.0,The mail plane explosion in mid-air before crashing to the ground in a snowstorm.,43.646418,-79.406798,1936
390,390,390,04/07/1936,10:20,"Uniontown, Pennsylvania",Trans Continental and Western Air,1,Newark - Los Angeles,Douglas DC-2-112,NC13721,1247,15.0,13.0,0.0,"Crashed into Chestnut Ridge in fog. The poor  judgment on the part of the pilot for flying by visual ground observation methods after having descended through the clouds and overcast in mountainous terrain at a point unknown to him. Because of clouds and poor visibility, this required flying close to the ground whereas the safest method under such circumstances was to climb into or above the overcast to a safe altitude and determine the location of the plane by instruments and radio.",39.900076,-79.716433,1936
401,401,401,08/02/1936,06:00,"Mazamet, France",Air France,,,Wibault 280,,,3.0,3.0,0.0,The mail plane crashed into mountains 50 miles from Toulouse in fog.,43.490232,2.376436,1936
417,417,417,12/07/1936,10:47,"Off Dakar, French West Africa",Air France,,,Latécoère 300,F-AKGF,1,5.0,5.0,0.0,Aviator Jean Mermoz killed. The last message from the aviator was 'we have switched off the rear engine.' The plane and crew of four were never found.,7.1881,21.09375,1936
418,418,418,12/09/1936,10:30,"Croydon, England",KLM Royal Dutch Airlines,,Croydon - Amsterdam,Douglas DC-2-115E,PH-AKL,1358,17.0,15.0,0.0,The aircraft crashed into houses while attempting to take off in heavy fog. A stewardess and the radio operator survived. Aircraft designer Juan de la Cieva killed.,51.371305,-0.101957,1936
420,420,420,12/18/1936,03:20,"Kellogg, Idaho",Northwest Orient Airlines,,,Lockheed 10 Electra,NC14935,,2.0,2.0,0.0,"The mail plane crashed into Early Creek Ridge, 15 miles south of Kellogg, in a blizzard.",47.538235,-116.118887,1936
421,421,421,12/19/1936,20:47,"Near Milford, Pennsylvania",Eastern Air Lines,14,"Miami, FL - Charleston, SC - Newark, NJ",Douglas DC-2-112,NC13732,1258,14.0,14.0,0.0,"Crashed into trees in poor weather while attempting to land at Newark. Error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  Improper dispatching for clearing the flight into an area of predicted bad weather, particularly when the area cleared through did not permit a safe return, and staticonditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible.",41.322316,-74.802388,1936
424,424,424,12/27/1936,19:38,"Newhall, California",United Air Lines,34,Oakland - San Francisco - Los Angeles,Boeing 247-D,NC13355,1737,12.0,12.0,0.0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather.",34.379877,-118.529192,1936
427,427,427,02/09/1937,20:50,"Off San Francisco, California",United Air Lines,23,Los Angeles - San Francisco - Oakland,Douglas DC-3A,NC16073,1913,11.0,11.0,0.0,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3.",37.779026,-122.419906,1937
431,431,431,03/25/1937,18:40,"Clifton, Pennsylvania",Trans Continental and Western Air,15A,Newark - Camden - Pittsburg,Douglas DC-2-112,NC13730,1256,13.0,13.0,0.0,Crashed while attempting to land. Heavy icing which rendered the plane uncontrollable.,41.222862,-75.547687,1937
440,440,440,08/10/1937,04:40,"Daytona Beach, Florida",Eastern Air Lines,7,Chicago - Daytona,Douglas DC-2,NC-13739,1289,9.0,4.0,0.0,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.,29.210815,-81.022833,1937
446,446,446,10/17/1937,21:00,"Haydens Peak, Wyoming",United Air Lines,1,Cheyenne - Salt Lake City,Douglas DC-3,NC16074,1914,19.0,19.0,0.0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Staticonditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front.",41.176992,-104.842785,1937
450,450,450,12/05/1937,09:00,"Brindisi Harbor, Italy",Imperial Airways,,India - London,Short Empire Flying Boat,G-ADUZ,,19.0,2.0,0.0,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.,42.83333,12.83333,1937
452,452,452,12/24/1937,17:30,"Kasperske Hory, Czechoslovakia",Air France,,Bucharest - Vienna - Prague - Paris,Wibault 283-T12,F-AMYD,11,3.0,3.0,0.0,"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error or for political reasons.",,,1937
454,454,454,01/10/1938,15:07,"Bozeman, Montana",Northwest Orient Airlines,2,Seattle - Billings - Chicago,Lockheed 14H Super Electra,NC-17388,1407,10.0,10.0,0.0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter 'natural resonance, or period of vibration' which resulted in the separation of the rudder and fins and loss of control of the aircraft.",45.679429,-111.044047,1938
455,455,455,01/11/1938,19:40,"Pago Pago, U.S. Samoa",Pan American World Airways,1,Honolulu - Pago Pago - Auckland,Sikorsky S-42 (flying boat),NC16734,4207,7.0,7.0,0.0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or six crew members were ever found. The aircraft was named 'Samoan Clipper.'  Pan American's first pilot, Captain Edwin C. Musick, killed.",-14.275479,-170.70483,1938
462,462,462,03/01/1938,21:30,"Near Wawona, Cailifornia",Trans Continental and Western Air,8,San Francisco - Burbank,Douglas DC-2-112,NC13789,1299,9.0,9.0,0.0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.,,,1938
468,468,468,05/16/1938,02:07,"Near Saugus, California",Northwest Orient Airlines,,"Burbank,- St. Paul",Lockheed 14-H2 Super Electra,NC17394,1439,9.0,9.0,0.0,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames.",34.449349,-118.516826,1938
470,470,470,05/24/1938,22:17,"Cleveland, Ohio",United Air Lines,9,Newark - Cleveland - Chicago,Douglas DST-A-207A,NC18108,1956,10.0,10.0,0.0,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.,41.505161,-81.693445,1938
475,475,475,07/08/1938,02:56,"Billings, Montana",Northwest Orient Airlines,4,Seattle - Chicago,Lockheed 14 Super Electra,NC17383,,10.0,10.0,0.0,"While taking off from Billings, the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers, preventing the levers from going to the full low pitch position. As a result of the stalled condition, the airplane fell off on the right wing and crashed at a point 1,100 feet beyond the NE runway, the pilot having cut the switch just prior to the impact.",45.787496,-108.49607,1938
480,480,480,07/29/1938,04:11,PacifiOcean between Manila and Guam,Pan American World Airways,229,Alameda - Manila,Martin M-130 (flying boat),NC14714,556,15.0,15.0,0.0,"The plane crashed into the ocean while en route between Guam and Manilla. The last known position was 12.27 N, 130.40 W or 582 nm east southeast of Manila at 04:00 GCT. Cause unknown. The plane may have been hijacked by the Japanese and flown to Truk Island where the crew and passengers were murdered. The aircraft was named 'Hawaii Clipper.'",13.47861,144.81834,1938
495,495,495,11/14/1938,18:41,"Schiphol, Amsterdam",KLM Royal Dutch Airlines,,Berlin-Amsterdam,Douglas DC-3,PH-ARY,2021,19.0,6.0,0.0,The aircraft flew into the ground during approach in poor visibility. The first officer was commander of the military flying school Soesterberg.,52.308126,4.75846,1938
496,496,496,11/18/1938,00:51,"Regina, Saskatchewan, Canada",Trans Canada Air Lines,,Winnipeg - Regina - Vancouver,Lockheed 14 Electra,CF-TCL,,2.0,2.0,0.0,The mail plane crashed several minutes after taking off from Regina,50.44876,-104.61731,1938
499,499,499,11/29/1938,05:30,"Off Point Reyes, California",United Air Lines,6,Medford - Oakland,Douglas DC 3-A-SB-3-G-14,NC16066,1907,7.0,7.0,0.0,"The aircraft ran out of fuel and ditched into the ocean. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply.",37.995318,-123.023466,1938
504,504,504,01/13/1939,21:15,"Miles City, Montana",Northwest Orient Airlines,1,Chicago - Seattle,Lockheed 14-H Super Electra,NC17389,1408,4.0,4.0,0.0,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire.",46.408527,-105.840981,1939
507,507,507,01/21/1939,12:30,AtlantiOcean between N.Y. and Bermuda,Imperial Airways,,New York City - Bermuda,Short S-23 (flying boat),G-ADUU,S-812,13.0,3.0,0.0,"While en route, the aircraft ditched, broke in two  and sank in the AtlantiOcean, 285 miles SE of Long Island New York. Complete loss of power to the two inner engines and partial loss of power to the two outer engines due to carburetor icing. The aircraft was named Cavalier.",32.33022,-64.74003,1939
514,514,514,03/26/1939,14:48,"Oklahoma City, Oklahoma",Braniff Airlines,1,Chicago - Dallas,Douglas DC-2-112,NC13727,1253,12.0,8.0,0.0,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely.",35.472989,-97.517054,1939
522,522,522,08/13/1939,16:35,"Rio de Janerio, Brazil",Pan American World Airways,,Miami - Rio de Janerio,Sikorsky S43 (flying boat),NC16933,,16.0,14.0,0.0,"The plane lost power from the left engine, yawed to the left, and started a descending turn in the same direction. The plane continued to lose altitude and turn at a sharper and steeper angle until it struck a caisson anchored at right angles to a small island in the harbor immediately adjacent to its landing approach path.   Loss of power from the left engine during the landing approach, necessitating an attempted landing under extremely hazardous conditions.",-10.0,-55.0,1939
538,538,538,08/13/1940,10:15,"Near Canberra, Australia",Military - Royal Australian Air Force,,Melbourne - Canberra,Lockheed Hudson A16-97,,,10.0,10.0,0.0,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classisymptoms of a stall, too close to the ground for recovery.",-35.297591,149.101268,1940
540,540,540,08/31/1940,14:41,"Near Lovettsville, Virginia",Pennsylvania Central Airlines,19,Washington D.C. - Detroit,Douglas DC-3,NC21789,2188,25.0,25.0,0.0,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed.",39.272431,-77.636343,1940
543,543,543,11/04/1940,04:42,"Near Centerville, Utah",United Air Lines,16,Oakland - Salt Lake City,Douglas DC-3,NC16086,1925,10.0,10.0,0.0,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration.",40.918,-111.87216,1940
547,547,547,12/04/1940,17:48,"Chicago, Illinois",United Air Lines,21,New York City - Chicago,Douglas DC-3A,NC25678,2175,16.0,10.0,0.0,The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.,41.875562,-87.624421,1940
551,551,551,01/23/1941,04:13,"Near Robertson, Missouri",Trans Continental and Western Air,6,"Kansas City, MO - New York",Douglas DC-3-3,NC17315,1930,13.0,2.0,0.0,"Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude.",38.764218,-90.38206,1941
552,552,552,02/06/1941,02:00,"Armstrong, ON, Canada",Trans Canada Air Lines,,,Lockheed 14-H2 Super Electra,CF-TCP,1501,12.0,12.0,0.0,The plane crashed after the right wing struck a tree as the pilot was attempting to land. Struck several other trees and landed inverted in a swamp.,50.302131,-89.03737,1941
553,553,553,02/26/1941,11:50,"Atlanta, Georgia",Eastern Air Lines,21,New York City -  Washington D.C. - Atlanta - Brownsville,Douglas DC-3,NC28394,3204,16.0,9.0,0.0,"The aircraft crashed into a hill in pine woods, near Chandler Field, while attempting to make an instrument landing approach in rain and fog. The failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. A substantial contributing factor was the absence of an established uniform cockpit procedure on Eastern Air Lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. Captain Edward Rickenbacker, President of Eastern Air Lines, survived the crash.",33.748992,-84.390264,1941
558,558,558,08/10/1941,20:35,"Arran, Scotland",Military -Royal Air Force,,,Consolidated LB-30A Liberator,AM261,,22.0,22.0,0.0,"Crashed into a mountain ridge in rain, low visibility and overcast conditions. Navigational error.",55.577444,-5.252135,1941
559,559,559,08/14/1941,20:40,"Ayr, Scotland",Military - Royal Air Force,,,Consolidated LB-30A Liberator,AM260,,22.0,22.0,0.0,"Crashed and burned on takeoff at Heathfield airfield, after veered off the runway and striking a small building and then an embankment.",55.462804,-4.63025,1941
